num_layers,mse_lsa_mean,mse_lsa_std,mse_gd_mean,mse_gd_std,cosine_sim_mean,cosine_sim_std
1,10.64361529,1.45500717,17.04300432,2.02218408,0.86823775,0.00339928
2,7.08176856,1.07937126,12.80725889,1.90254646,0.89506230,0.00515313
4,6.00314269,1.19601978,9.79403844,1.93757890,0.89594934,0.00571233
8,4.38965774,0.84655336,6.78971901,0.61097299,0.88946616,0.00301423
16,4.62992318,0.56089735,3.06540889,0.61572976,0.91233262,0.00543404
