num_layers,mse_lsa_mean,mse_lsa_std,mse_gd_mean,mse_gd_std,cosine_sim_mean,cosine_sim_std
1,9.31682272,0.87084696,16.43972282,1.60942259,0.87328743,0.00671997
2,6.53285387,1.32884793,13.22129364,2.29405304,0.89956820,0.00309298
4,5.94242835,1.27349557,9.96048894,2.22392020,0.88743173,0.00550796
8,5.15432580,0.97494785,6.30859156,0.78695019,0.90525048,0.00585169
16,4.97851748,0.82401120,3.46950753,0.48080385,0.90885838,0.00506643
32,3.95356829,1.01524647,1.37600807,0.31148187,0.91566239,0.00845207
