num_layers,mse_lsa_mean,mse_lsa_std,mse_gd_mean,mse_gd_std,cosine_sim_mean,cosine_sim_std
1,9.31076078,0.89019822,16.25761566,2.43340009,0.87247817,0.00291381
2,6.90294781,1.47712172,13.89786777,2.33171702,0.89616944,0.00532932
4,5.96362083,1.29591363,10.58838630,1.54148099,0.88935450,0.00601367
8,5.12767358,0.58653385,6.42783012,0.92228852,0.90214421,0.00484055
16,4.66672244,0.61357494,3.27812839,0.29722060,0.91454817,0.00479902
32,4.06697142,1.02565528,1.46421381,0.27690794,0.91692891,0.00582714
64,3.63263526,0.86270005,0.38963681,0.10592431,0.91707289,0.00413867
